date,close,open,max,min,volume,return,comments,sentiment_sum,positive,negative
2023-08-08,264.62,261.92,265.44,258.8,65110000,1.03,163.0,-17.32694686204195,63,100
2023-08-07,261.92,266.54,268.09,260.5,61530000,-0.83,182.0,-43.36271805036813,65,117
2023-08-04,264.12,269.48,272.96,261.21,132210000,-1.85,376.0,-75.97351281531155,128,248
2023-08-03,269.11,269.0,271.35,266.8,75760000,0.2,214.0,-32.465917197056115,79,135
2023-08-02,268.57,268.5,269.97,266.52,48420000,0.03,164.0,-17.580807910766453,64,100
2023-08-01,268.5,269.0,273.35,264.1,162990000,0.41,262.0,-24.79372210521251,111,151
2023-07-31,267.4,251.33,267.77,251.33,167910000,7.28,285.0,-32.012140206992626,109,176
2023-07-28,249.25,248.0,249.45,246.67,35780000,0.52,47.0,-15.854598434176296,11,36
2023-07-27,247.95,247.5,249.3,247.24,39790000,0.36,59.0,-15.281005652621388,18,41
2023-07-26,247.05,247.2,248.33,245.9,26120000,-0.06,37.0,-3.130725832656026,16,21
2023-07-25,247.2,245.48,247.77,244.81,39730000,0.95,45.0,-7.413273753598332,17,28
2023-07-24,244.87,244.0,245.85,243.52,19770000,0.3,41.0,-4.957411473616958,17,24
2023-07-21,244.13,243.18,244.53,241.7,32270000,0.59,64.0,-12.814872421324251,19,45
2023-07-20,242.7,246.27,246.27,242.15,36030000,-1.28,72.0,-14.562703553587198,24,48
2023-07-19,245.85,247.25,248.1,245.0,31450000,-0.37,42.0,-9.907584897242486,14,28
2023-07-18,246.77,245.8,247.5,245.26,36010000,0.56,40.0,-8.249155825003982,14,26
2023-07-17,245.39,244.77,246.2,243.6,36190000,-0.43,60.0,-17.536463308148086,19,41
2023-07-14,246.45,246.32,247.05,244.51,25660000,0.11,40.0,-4.862016301136464,18,22
2023-07-13,246.19,247.97,248.15,245.34,29560000,-0.54,51.0,-11.198735555633904,13,38
2023-07-12,247.52,248.4,249.2,246.1,39320000,-0.19,87.0,-14.570942975580692,33,54
2023-07-11,247.99,250.01,250.2,246.51,49590000,-0.57,87.0,-14.338485875166953,30,57
2023-07-10,249.4,244.21,249.45,244.2,65080000,2.35,77.0,-8.511083584278822,27,50
2023-07-07,243.67,241.49,243.75,240.7,30280000,1.12,45.0,-0.6106413323432207,20,25
2023-07-06,240.96,241.47,242.47,240.71,23260000,0.0,39.0,-2.8748201075941324,16,23
2023-07-05,240.95,241.49,241.9,240.24,19970000,0.1,45.0,-14.677796872332692,12,33
2023-07-04,240.7,243.4,243.78,240.61,41560000,-1.08,39.0,-5.007732955738902,16,23
2023-07-03,243.33,240.0,244.56,239.15,47330000,1.55,63.0,-8.176207135431468,27,36
2023-06-30,239.61,240.0,240.68,238.36,24050000,-0.16,43.0,-8.15296445414424,15,28
2023-06-29,239.99,239.94,241.26,239.02,28190000,0.13,50.0,-11.475930137559772,13,37
2023-06-28,239.67,241.8,241.8,238.6,28310000,-0.64,54.0,-7.350538665428758,20,34
2023-06-27,241.21,239.02,242.34,236.8,51470000,1.18,134.0,-36.72719195811078,43,91
2023-06-26,238.4,239.6,240.5,233.4,82020000,1.16,177.0,-28.87110024597496,65,112
2023-06-23,235.67,239.98,240.99,234.34,61890000,-2.07,122.0,-19.366830308921635,45,77
2023-06-22,240.66,242.15,242.8,240.13,23140000,-0.64,56.0,-12.046520705334842,19,37
2023-06-21,242.2,241.9,243.92,240.6,26830000,0.19,46.0,-7.561950609087944,20,26
2023-06-20,241.74,241.99,242.22,238.82,36620000,-0.22,46.0,-2.9398719407618046,21,25
2023-06-19,242.28,244.47,244.69,241.32,29840000,-0.65,35.0,-5.024636510759592,14,21
2023-06-16,243.87,245.5,245.9,243.7,23440000,-0.53,28.0,-2.402723943814636,13,15
2023-06-15,245.18,245.11,245.94,243.22,40060000,0.24,40.0,-5.9089300986379385,13,27
2023-06-14,244.6,245.7,247.68,242.8,52210000,0.11,84.0,-12.61849882081151,32,52
2023-06-13,244.33,241.51,244.5,240.63,40550000,1.63,67.0,-10.154386236332355,23,44
2023-06-09,240.4,242.8,243.0,240.11,27570000,-0.57,92.0,-26.018565834499896,21,71
2023-06-08,241.77,241.3,242.78,239.55,29950000,0.22,93.0,-12.17774697765708,32,61
2023-06-07,241.25,241.2,244.39,238.56,63130000,0.14,84.0,-1.3789275232702494,40,44
2023-06-06,240.91,235.92,242.1,232.54,100640000,1.6,194.0,-50.40615020971745,60,134
2023-06-05,237.12,243.51,244.15,235.1,78740000,-2.8,160.0,-42.57216295041144,47,113
2023-06-02,243.95,242.0,245.5,240.77,46540000,0.95,82.0,-10.933603402227163,32,50
2023-06-01,241.66,247.0,247.0,240.57,52050000,-1.83,150.0,-29.17309654783457,54,96
2023-05-31,246.17,244.0,247.18,240.27,72910000,0.62,155.0,-25.43689324334264,58,97
2023-05-30,244.65,248.84,250.85,243.8,83530000,-2.6,201.0,-49.62201968766749,62,139
2023-05-29,251.18,249.78,252.59,248.85,68000000,1.24,173.0,-42.64214481133968,54,119
2023-05-26,248.1,243.45,249.64,242.81,69200000,1.78,176.0,-32.12782797589898,62,114
2023-05-25,243.76,246.1,247.4,242.65,70880000,-0.93,259.0,-65.29347040923312,75,184
2023-05-24,246.06,237.49,246.13,236.26,86010000,4.07,332.0,-40.93801921512932,140,192
2023-05-23,236.43,231.25,237.29,230.21,63010000,2.35,167.0,-39.26751529797912,44,123
2023-05-22,231.0,232.2,232.78,230.0,26490000,-0.12,75.0,-28.5900300485082,17,58
2023-05-19,231.27,230.99,232.3,229.81,31640000,-0.19,42.0,-11.40775153785944,11,31
2023-05-18,231.7,231.7,234.49,230.72,56230000,0.5,102.0,-26.037494471296668,31,71
2023-05-17,230.55,229.86,230.97,228.75,31770000,-0.03,134.0,-20.001594379544255,50,84
2023-05-16,230.62,232.4,232.86,229.57,36610000,-0.47,102.0,-29.071633462794125,26,76
2023-05-15,231.7,230.51,231.75,228.52,49090000,1.05,144.0,-13.02243366278708,60,84
2023-05-12,229.29,231.0,232.47,226.15,70530000,-0.01,261.0,-44.253375427331775,99,162
2023-05-11,229.32,228.87,235.38,223.94,197300000,1.0,579.0,-92.65771978907289,216,363
2023-05-10,227.06,216.5,227.5,215.7,156870000,-4.7,577.0,-97.47786019649357,220,357
2023-05-08,238.27,238.69,239.86,237.36,47870000,0.24,179.0,-33.29847307316959,66,113
2023-05-05,237.7,239.24,240.66,237.3,61370000,-0.5,233.0,-32.13992517441511,95,138
2023-05-04,238.89,236.89,239.74,236.05,53080000,1.32,202.0,-43.73788073472679,71,131
2023-05-03,235.77,242.85,242.99,234.0,76830000,-2.82,339.0,-59.128436191007495,129,210
2023-05-02,242.62,242.2,245.0,237.4,83960000,0.93,326.0,-76.39341189945117,108,218
2023-04-28,240.38,240.9,241.58,237.66,49580000,0.0,165.0,-30.83222917048261,59,106
2023-04-27,240.38,235.59,240.74,235.13,68310000,2.2,346.0,-30.72343018744141,145,201
2023-04-26,235.21,235.6,235.95,234.91,24430000,-0.04,145.0,-16.44854596676305,57,88
2023-04-25,235.3,235.13,235.82,234.21,32189999,0.09,177.0,-32.26008508261293,58,119
2023-04-24,235.1,235.07,236.4,234.1,30540000,-0.03,211.0,-34.613351258449256,76,135
2023-04-21,235.17,237.4,238.85,233.52,115910000,-0.47,636.0,-97.5830238321796,243,393
